A,B,C
60,732,667
212,752,110
95,54,654
434,912,895
126,612,903
207,986,779
824,757,427
344,320,113
700,703,824
717,804,556
935,990,882
917,378,949
998,678,968
486,970,999
614,655,840
205,520,639
748,2,456
678,787,379
137,62,339
426,579,980
187,955,883
825,122,896
384,489,941
300,584,797
307,874,777
607,261,853
523,245,73
541,556,287
645,928,955
919,258,684
280,845,767
965,824,157
501,270,959
444,123,958
79,917,982
556,686,815
516,20,849
875,428,737
138,478,218
98,76,542
140,565,60
245,369,107
836,152,435
43,376,979
502,228,256
171,94,559
720,688,390
355,290,490
662,577,604
270,421,332
733,104,147
695,388,713
897,873,691
990,492,178
686,338,989
93,132,71
312,527,322
776,298,859
985,348,355
838,913,930
798,72,411
116,559,205
326,672,974
236,384,948
124,364,911
602,288,770
109,765,566
6,995,386
263,397,274
865,557,748
649,730,291
970,502,107
134,123,642
90,571,737
771,605,241
906,705,263
307,171,470
499,374,132
851,484,390
834,202,919
978,82,762
150,369,825
410,185,253
957,131,797
112,63,680
355,999,327
632,427,724
965,408,409
631,112,557
187,361,402
336,862,339
938,475,704
695,190,540
655,447,285
796,890,378
121,141,512
443,464,401
706,461,895
129,418,413
324,504,204
995,644,666
719,600,190
193,729,386
819,601,306
268,330,945
847,45,825
224,883,562
397,718,814
82,657,825
489,907,604
373,591,649
803,304,699
960,734,915
211,230,767
451,333,496
220,166,45
119,908,259
860,210,95
136,156,667
25,784,676
329,455,796
417,244,399
490,837,736
934,977,690
572,310,574
663,308,366
185,854,636
843,88,841
151,323,614
768,200,624
189,430,375
741,950,342
16,961,188
245,472,761
501,55,15
813,490,584
439,656,458
483,7,926
368,588,119
459,563,749
123,752,990
330,175,542
717,413,978
631,865,224
736,198,505
234,419,847
961,458,468
67,686,206
689,955,303
839,229,838
993,967,84
55,949,824
664,857,434
52,893,795
904,885,927
196,839,251
112,480,6
694,24,470
598,758,274
303,473,335
333,47,382
50,714,233
479,78,698
691,60,953
728,742,547
424,951,447
999,199,910
893,823,764
618,386,819
442,637,103
632,221,803
954,708,125
190,531,617
248,325,431
356,598,750
798,986,439
695,159,308
284,489,157
180,445,616
248,829,342
683,53,113
219,730,175
506,601,705
687,813,19
176,349,987
652,475,280
916,566,607
976,746,796
509,705,625
782,211,334
488,738,222
431,809,812
184,278,41
741,141,29
327,107,590
257,169,191
132,69,820
540,823,558
623,553,932
752,32,945
664,555,656
642,469,904
459,168,767
353,33,944
55,319,159
311,571,688
733,495,302
37,468,728
401,646,445
930,845,634
647,783,520
665,901,994
679,609,460
551,485,386
901,191,959
290,789,244
370,338,895
265,479,422
822,922,686
933,922,499
90,55,324
359,157,846
511,296,165
76,307,105
364,218,448
650,159,559
749,140,53
722,458,776
565,314,639
927,176,529
502,829,974
185,246,231
877,570,559
786,458,313
510,305,924
873,930,997
166,234,696
230,646,898
6,341,92
187,669,237
840,375,863
420,156,369
655,624,333
193,242,174
554,247,965
777,342,470
121,741,145
639,439,633
418,962,327
332,772,24
138,539,489
644,856,630
399,324,401
482,652,770
410,408,864
170,215,451
341,342,568
905,720,993
282,667,976
250,288,696
803,608,934
172,579,368
252,781,687
847,272,248
541,49,838
211,922,618
96,781,327
897,119,928
890,305,373
766,907,287
852,322,930
211,25,380
922,331,156
489,763,671
786,867,897
430,614,498
63,972,899
905,730,185
400,842,30
164,588,798
360,305,684
966,297,50
438,306,592
727,146,677
677,694,592
190,12,444
628,760,492
981,922,373
689,637,714
626,93,58
55,74,355
32,928,150
433,751,564
418,92,399
732,631,94
291,679,249
599,310,722
334,27,482
171,480,949
716,308,326
446,933,511
562,708,865
475,110,321
374,508,339
182,923,689
927,414,750
672,983,966
731,342,569
937,135,102
88,825,52
838,872,295
261,735,250
583,808,692
339,155,133
615,268,126
697,610,736
516,363,155
64,366,321
244,403,196
513,546,185
762,842,383
997,915,586
25,784,643
278,190,732
303,83,47
51,486,431
824,543,996
927,911,412
72,548,676
141,892,609
623,346,914
645,386,449
643,630,611
147,568,473
141,815,137
156,195,594
616,6,738
963,548,64
207,389,965
619,531,420
756,884,867
162,291,503
840,792,732
6,342,555
997,496,785
236,966,106
701,716,980
414,293,796
368,946,624
416,561,999
239,297,616
988,791,250
755,898,341
220,329,297
795,430,125
668,287,867
276,57,271
222,434,627
777,452,7
24,494,406
343,311,175
300,529,246
352,296,752
789,584,609
806,672,614
935,395,436
450,270,848
837,155,731
50,601,42
291,40,764
204,970,736
852,505,527
869,28,688
440,185,478
550,179,144
995,398,509
632,401,505
995,325,831
164,708,47
928,506,405
801,989,880
919,255,240
426,745,528
954,110,802
119,79,547
140,293,744
555,760,477
10,951,347
792,725,951
694,493,209
475,943,274
118,576,997
67,179,285
773,311,648
928,262,292
226,896,845
400,389,22
882,864,534
172,245,114
347,625,299
800,68,340
642,826,750
13,111,75
274,505,974
779,267,295
478,223,128
620,159,830
903,280,291
588,733,414
40,496,694
684,643,446
957,976,348
298,143,39
239,817,452
243,652,842
910,521,537
747,727,239
878,448,961
575,790,128
695,897,952
229,961,879
695,998,341
792,272,689
146,254,35
969,314,344
76,197,80
263,481,284
909,234,588
206,608,684
794,840,71
557,546,210
926,295,672
833,165,465
216,98,851
90,766,136
860,841,588
524,629,575
224,578,702
543,445,243
589,524,704
32,588,841
392,420,370
107,405,705
687,977,433
672,334,343
848,55,83
619,671,511
482,360,209
326,100,308
793,441,227
9,692,319
588,895,522
357,203,471
477,66,539
879,990,476
165,167,74
108,578,10
113,617,939
503,507,175
78,800,454
241,756,901
740,562,827
63,7,139
648,825,532
619,572,185
873,926,872
330,678,832
695,958,761
732,204,267
764,985,774
616,440,918
523,696,457
889,222,397
487,131,425
355,277,677
72,677,412
312,250,939
26,730,71
178,215,701
729,324,947
16,896,481
815,623,788
131,391,900
909,581,364
253,501,230
379,499,949
932,466,201
409,392,246
101,966,261
196,877,559
610,506,113
480,943,802
980,483,115
541,165,678
25,999,986
791,464,195
257,54,211
251,586,367
574,962,592
391,610,623
855,257,778
840,763,166
734,207,187
277,232,654
491,43,819
857,172,844
87,662,607
35,781,432
983,382,988
607,606,665
354,985,424
992,462,574
267,162,37
470,239,982
307,517,596
115,169,311
106,240,442
784,119,553
148,360,633
82,451,243
444,864,893
609,413,252
178,836,267
791,314,127
972,7,212
274,336,345
771,778,210
641,683,736
213,571,160
733,278,809
393,717,332
134,823,7
660,691,270
15,551,535
666,611,211
243,996,444
555,533,651
358,319,95
46,232,446
320,75,891
424,118,622
639,116,472
951,567,277
672,359,14
287,130,632
545,728,105
802,267,845
469,962,235
740,141,272
245,23,227
570,563,390
96,615,766
434,394,509
978,105,267
287,307,631
767,725,865
678,780,415
480,990,43
990,803,872
586,885,969
835,580,655
230,206,739
251,114,972
414,709,778
188,686,820
176,129,149
447,565,529
406,531,249
378,717,727
161,147,897
277,359,139
709,922,311
847,151,918
19,847,662
30,307,491
821,54,333
919,409,426
482,397,422
186,635,381
586,387,87
862,237,202
675,567,124
485,255,230
14,398,279
494,177,420
221,5,83
931,168,146
510,690,883
992,490,833
327,459,598
289,921,873
20,766,546
692,535,13
320,187,154
886,157,557
920,31,832
275,92,978
195,791,992
898,881,943
457,589,402
421,3,54
423,599,458
773,309,17
943,46,553
363,241,937
827,495,637
362,473,273
326,616,564
314,445,634
799,532,556
41,73,985
552,713,962
518,832,600
659,1,608
228,53,872
241,754,631
105,350,665
827,289,387
182,478,86
766,889,55
431,849,376
591,82,840
615,68,832
104,972,300
867,952,238
792,211,896
345,509,484
15,527,426
746,439,736
10,82,265
878,76,365
422,554,377
403,747,389
71,664,987
638,579,934
396,323,673
308,115,765
620,944,52
683,815,123
181,311,857
727,250,439
766,804,176
600,745,413
898,508,594
462,903,226
965,550,524
997,277,758
853,437,602
208,615,593
48,227,312
775,739,633
720,222,776
189,252,243
406,329,306
832,848,824
179,4,318
898,615,882
728,715,297
389,996,8
358,472,477
25,280,789
407,879,85
603,94,838
404,753,448
852,39,552
642,219,601
483,146,149
13,727,219
337,937,838
813,913,633
648,200,471
718,623,933
174,539,988
605,254,757
35,229,564
146,105,159
96,688,43
321,157,549
202,802,516
132,418,306
533,876,911
441,755,592
129,791,588
325,32,97
110,390,949
759,24,334
464,768,655
867,452,367
681,685,494
71,296,836
89,698,544
30,549,733
396,532,383
817,757,271
330,141,515
253,439,78
301,952,8
33,17,204
915,518,451
952,693,912
76,78,683
135,843,704
704,306,828
195,100,80
82,106,149
928,849,714
758,137,981
572,27,779
285,678,968
622,329,179
784,686,375
791,233,606
160,808,892
186,395,340
25,196,527
803,783,399
654,956,353
872,501,214
97,162,235
409,167,731
820,380,20
249,218,359
176,57,320
644,751,876
577,820,900
290,639,119
409,338,261
859,611,48
749,612,680
3,834,296
297,911,208
648,896,17
873,168,760
15,495,555
287,788,488
886,336,438
275,904,473
754,706,814
471,93,781
514,15,452
537,701,146
891,485,652
37,902,324
438,367,655
14,577,132
790,554,737
879,996,825
668,592,236
60,973,487
317,236,326
339,929,859
52,809,65
969,679,54
659,389,644
415,187,330
620,181,484
759,444,641
916,786,23
1,755,553
595,269,665
588,36,496
930,860,141
158,644,968
592,685,64
766,643,473
807,21,63
642,498,873
752,658,425
492,743,759
506,998,988
830,954,398
432,438,964
567,664,714
220,852,200
426,794,652
847,866,412
818,586,436
172,526,135
79,776,729
215,857,768
75,205,528
744,64,447
819,656,182
467,171,644
344,127,841
124,728,487
762,966,903
643,263,440
655,929,979
7,474,93
749,801,528
238,905,848
246,980,487
377,5,499
638,47,439
676,30,903
788,621,378
161,34,419
283,923,831
646,35,268
51,46,503
550,284,206
522,549,113
148,972,599
596,762,306
70,635,395
183,279,447
150,331,48
221,898,167
950,690,22
875,575,601
648,353,97
4,469,625
493,740,302
248,645,151
25,365,203
441,695,377
815,5,975
131,933,525
665,140,567
847,78,110
279,997,717
989,594,661
658,513,786
136,85,399
85,210,172
865,300,803
939,13,718
90,622,654
129,878,757
260,366,187
136,509,147
502,809,844
46,393,524
536,116,372
286,406,197
436,880,37
232,332,449
97,468,214
864,966,128
309,378,708
44,775,264
865,742,897
942,105,924
654,115,203
979,204,70
262,461,325
617,143,929
756,863,887
186,827,114
390,379,583
711,319,716
617,720,794
342,685,524
869,188,366
388,511,33
54,446,42
624,124,325
170,840,544
520,5,220
392,153,781
437,281,724
783,221,858
649,749,7
651,303,967
699,815,451
232,806,598
214,375,543
521,119,970
928,663,985
365,445,593
24,783,336
773,73,678
839,685,756
943,987,94
831,950,724
33,600,442
492,224,72
419,150,692
203,373,375
225,892,741
882,839,232
243,298,252
437,874,504
593,917,712
540,803,341
923,18,217
763,589,106
382,683,265
225,867,690
20,115,709
588,873,896
107,342,99
788,377,632
193,437,435
934,930,93
794,487,957
719,969,399
327,29,688
524,680,892
945,589,505
419,347,792
671,136,199
830,138,194
14,329,338
150,875,491
22,193,959
906,404,108
497,806,106
210,593,225
277,814,243
270,116,642
419,292,135
554,507,802
303,278,915
707,36,457
339,7,348
529,547,547
494,506,468
956,504,43
663,868,871
869,843,824
675,169,376
923,799,369
156,595,244
572,491,207
287,593,433
27,860,713
507,336,522
75,455,431
827,863,800
158,634,8
534,22,583
957,379,317
224,675,356
224,449,119
769,303,161
254,131,323
426,773,757
411,716,562
821,245,18
73,676,41
609,236,403
961,280,443
141,842,402
963,722,140
693,696,803
946,731,890
763,49,412
518,924,409
803,732,797
222,524,514
829,598,69
276,688,501
869,319,12
8,387,241
86,703,992
783,435,416
686,483,93
209,529,170
45,345,764
293,315,457
384,668,964
848,322,49
569,971,95
827,643,761
32,125,825
545,157,417
807,496,795
556,155,496
339,576,888
456,20,1
17,803,79
76,656,271
83,93,821
679,823,888
949,689,824
426,538,89
745,274,459
172,237,959
892,549,134
905,961,336
552,332,440
155,920,875
198,659,326
274,36,497
575,644,207
309,191,41
124,938,807
122,122,219
961,797,585
7,552,710
491,441,57
358,31,166
367,356,164
549,513,523
207,345,30
329,935,597
776,910,540
822,544,503
26,476,416
94,295,929
643,669,303
948,675,543
507,413,394
523,151,45
342,256,54
105,123,969
439,234,888
223,302,638
443,145,187
754,378,847
489,541,473
205,248,715
49,335,223
784,695,714
547,38,289
81,190,233
381,455,525
882,178,389
897,204,787
738,599,621
119,269,454
207,994,213
403,602,766
387,245,371
807,42,471
442,957,813
161,286,474
236,370,553
753,653,883
666,543,150
737,854,379
376,192,927
426,90,654
372,338,46
994,839,264
114,229,764
529,83,910
104,525,920
647,108,720
705,924,720
180,696,517
684,168,26
519,63,235
787,76,817
919,814,812
574,93,686
851,234,501
515,76,458
263,240,853
188,530,265
353,317,983
488,34,720
270,592,256
529,867,413
281,173,443
236,772,497
522,919,211
172,290,58
920,448,359
165,538,383
632,124,511
797,383,453
150,231,885
583,939,443
831,526,263
806,45,535
528,322,732
220,751,120
49,995,96
322,983,200
499,136,254
505,524,17
466,297,948
369,494,718
829,230,252
600,273,188
951,518,575
803,595,357
4,656,912
414,917,852
664,227,472
123,924,37
193,633,677
955,442,441
800,69,340
607,213,479
888,387,543
637,736,746
653,850,863
505,345,706
764,813,91
962,420,453
20,640,607
426,256,483
766,701,396
131,865,851
132,487,908
974,949,462
855,578,918
391,315,818
252,757,667
307,787,639
5,623,60
545,865,484
818,255,662
164,895,626
414,667,939
122,94,578
331,707,561
33,369,605
485,129,897
814,861,209
683,37,338
4,31,15
326,512,676
64,740,805
456,205,633
150,204,579
12,414,334
789,331,575
931,401,697
275,570,117
560,377,762
185,693,398
39,271,595
765,807,322
845,800,938
66,262,58
806,988,489
151,571,187
344,476,603
631,543,862
538,360,731
808,51,340
415,517,527
512,618,44
50,906,826
291,703,848
256,144,37
430,838,406
852,266,78
399,553,677
915,653,917
890,58,551
606,390,68
11,515,999
289,167,660
179,745,935
255,509,30
721,621,738
41,636,850
443,525,552
842,276,346
207,130,738
163,26,201
128,261,381
693,356,608
855,175,311
636,471,325
594,807,1
996,720,911
372,179,978
840,549,117
334,955,346
318,610,137
230,358,989
710,612,999
238,969,788
783,899,447
514,274,576
135,459,657
163,449,544
13,726,377
23,692,460
252,758,734
614,488,146
12,285,167
158,147,183
177,575,84
426,843,456
507,700,849
163,363,894
364,247,12
841,41,292
636,485,182
423,103,153
773,722,696
574,737,653
169,983,504
28,673,773
306,451,687
686,531,407
974,477,877
900,207,214
805,13,666
904,285,992
647,938,813
131,509,649
546,547,622
892,796,924
508,60,746
951,275,394
467,163,418
216,415,330
471,641,936
288,119,924
590,41,58
988,230,377
799,380,176
798,811,341
458,778,348
470,717,372
880,115,990
297,109,480
592,758,729
696,966,332
114,2,589
683,330,978
926,981,956
379,70,805
673,439,926
431,99,563
982,675,508
784,750,872
809,321,570
661,581,378
901,11,814
490,289,547
896,105,400
403,2,913
964,652,846
636,381,488
88,29,710
348,89,191
206,847,939
669,742,185
895,848,799
383,194,563
846,328,398
434,837,233
61,608,458
158,76,626
24,251,149
749,355,715
380,441,113
84,203,473
738,510,471
78,450,225
462,572,892
375,463,152
977,938,538
608,340,22
431,317,422
35,726,292
543,616,224
905,136,160
81,208,805
776,796,338
525,528,67
67,605,187
221,522,460
444,413,617
955,526,432
32,317,828
248,602,853
186,547,675
939,110,421
64,787,408
505,56,370
98,398,380
690,611,670
415,518,293
429,334,168
444,560,213
127,539,510
563,177,9
565,605,953
141,624,331
654,166,81
64,757,142
534,276,582
932,626,924
881,297,182
439,265,531
839,855,366
90,710,524
17,580,467
757,139,886
621,623,888
119,614,599
187,151,137
870,446,316
351,538,765
368,211,580
104,780,304
586,57,335
314,521,564
971,696,685
716,170,784
184,633,51
432,213,977
669,391,244
727,70,188
55,617,350
183,171,708
169,92,313
805,152,643
687,973,640
396,910,41
996,219,238
398,672,646
384,737,922
85,839,89
676,418,228
685,287,525
254,647,601
471,916,747
958,547,484
760,804,259
74,745,738
523,13,209
241,326,751
178,967,688
195,469,792
340,453,580
434,775,496
100,837,578
538,406,366
980,953,289
625,453,344
156,963,486
148,372,819
134,236,93
244,941,185
599,914,200
420,682,29
643,675,479
226,984,348
89,839,187
378,316,303
910,309,19
248,828,757
176,511,351
293,253,460
219,40,440
238,514,795
471,516,842
602,120,169
84,571,318
477,821,625
127,191,398
706,909,523
10,757,766
193,818,226
787,217,186
736,78,38
439,192,759
775,695,619
587,675,614
354,769,270
320,748,440
874,423,713
484,164,607
151,419,813
812,328,993
488,216,80
257,146,929
567,918,259
225,894,534
241,457,655
808,328,379
423,584,473
696,422,794
918,275,126
460,625,964
427,834,113
796,229,766
6,293,149
558,145,29
156,71,277
399,27,306
853,882,143
375,88,156
777,763,976
242,402,416
341,620,582
406,71,230
247,726,921
900,494,607
305,445,29
874,806,102
529,621,375
146,669,790
882,838,928
188,144,927
655,569,415
319,264,691
14,475,787
600,419,141
893,645,632
933,95,54
520,81,802
622,354,720
847,18,551
209,579,832
888,103,368
292,350,175
964,224,734
502,940,496
223,944,198
63,627,539
570,407,234
276,917,776
586,653,128
424,155,279
235,630,573
539,812,627
531,215,858
325,807,550
706,461,693
160,510,508
3,46,996
350,723,404
236,524,243
503,97,681
658,741,144
740,342,424
317,796,999
749,736,762
294,210,402
577,280,777
325,655,337
5,987,914
763,549,442
539,355,245
327,964,195
136,262,654
647,853,754
699,282,548
785,191,669
437,150,940
676,914,506
696,103,248
806,131,129
273,21,454
588,441,556
703,786,692
249,20,987
833,255,75
283,975,281
998,912,694
86,153,548
577,276,811
597,210,50
129,641,545
463,402,344
182,590,83
533,423,570
861,736,117
108,563,455
690,207,342
396,520,122
877,777,599
52,190,308
687,712,497
318,387,718
821,226,213
204,824,80
562,207,819
970,942,622
843,600,21
428,446,136
380,671,577
186,934,729
373,203,818
697,472,855
167,30,343
383,469,31
309,387,52
308,808,748
551,862,513
534,188,806
688,299,944
717,708,778
561,79,359
641,188,454
167,495,219
93,23,70
620,181,95
13,752,98
501,543,868
534,8,257
829,819,672
104,632,407
865,194,502
184,873,545
277,317,520
438,537,728
141,418,596
740,155,280
792,666,291
368,69,555
962,414,13
90,935,738
233,611,737
459,201,640
99,273,142
440,42,994
838,526,787
879,304,25
885,742,965
48,472,611
51,168,871
591,66,261
148,482,652
801,58,625
959,100,161
399,511,231
203,388,780
994,520,544
692,812,939
630,619,594
908,208,667
945,137,463
334,923,247
586,915,327
337,173,989
839,28,589
112,435,806
274,132,688
300,578,356
709,649,887
783,212,389
908,27,442
30,392,980
948,934,850
962,768,68
912,285,327
183,528,132
692,19,124
568,520,780
101,60,673
447,115,901
149,951,975
653,463,447
162,653,987
450,945,406
425,869,131
186,929,584
451,489,812
486,813,412
171,719,553
522,276,409
664,927,716
557,645,687
719,674,208
524,526,770
163,229,734
775,78,933
865,700,843
387,162,360
100,533,95
725,253,135
173,291,606
890,224,121
552,79,658
67,589,990
622,111,727
146,69,578
123,281,401
471,552,679
864,681,830
441,744,814
811,148,191
325,772,711
407,385,443
527,589,63
46,907,997
93,622,1
576,367,812
525,380,932
523,303,795
567,920,298
232,187,395
490,314,758
901,904,847
439,265,411
548,583,977
462,215,533
7,472,829
968,683,604
163,780,119
115,606,391
371,444,945
214,133,359
688,648,74
471,959,965
741,859,583
221,494,963
2,38,67
294,308,656
331,503,736
811,280,784
57,429,799
799,679,219
732,615,752
829,141,596
919,941,348
854,424,235
560,20,983
45,963,329
881,418,873
741,122,874
960,829,802
371,792,186
443,229,934
185,574,376
227,782,54
983,82,267
620,89,744
143,326,659
421,535,142
95,57,644
636,632,318
617,555,640
99,333,414
390,707,727
85,846,257
22,309,316
474,479,580
334,94,359
937,2,733
320,492,754
241,434,760
940,763,680
643,691,331
101,4,834
207,861,482
803,216,78
768,971,782
502,952,155
553,146,710
158,285,298
175,945,34
568,509,151
270,142,578
927,197,280
785,834,272
693,824,174
29,244,20
627,417,117
970,545,512
700,301,869
134,430,656
906,755,22
104,615,179
353,728,643
377,332,497
375,542,788
116,901,99
828,909,396
726,704,523
174,430,619
558,232,799
279,654,578
262,247,97
150,8,849
936,70,647
59,775,747
64,616,353
313,470,468
164,744,594
393,754,911
773,249,350
230,492,224
103,317,838
95,913,398
622,378,392
792,966,486
412,460,379
220,585,79
134,856,52
48,103,494
328,373,808
590,212,116
630,824,444
20,688,467
916,944,590
663,566,981
940,112,188
385,938,36
1,817,151
388,904,798
511,520,249
621,767,493
688,547,982
68,940,341
564,540,150
966,72,337
746,807,399
220,610,223
924,324,683
664,484,195
739,708,144
138,991,997
217,441,24
258,21,976
64,220,821
673,17,793
689,507,388
103,420,178
434,375,509
782,81,239
854,65,265
708,853,216
205,528,421
634,163,880
472,945,888
829,785,400
779,322,799
363,241,41
528,489,28
692,982,985
718,554,687
454,114,139
758,79,320
450,430,294
615,884,30
539,250,873
17,472,800
795,967,760
920,338,647
538,305,471
328,731,624
910,279,392
985,529,915
933,195,761
895,566,136
149,589,157
34,205,684
611,341,23
359,206,328
991,949,316
384,877,106
373,85,528
902,784,76
104,9,676
199,398,520
7,409,635
544,432,862
892,81,122
588,910,240
843,159,63
353,424,421
683,362,754
689,741,817
182,351,171
420,716,966
329,195,402
932,431,917
292,942,816
959,154,705
66,971,43
863,877,293
967,193,841
764,878,312
394,446,388
571,703,819
578,675,410
354,203,205
208,409,885
779,467,284
104,122,194
313,539,693
843,380,136
797,6,952
598,629,778
748,916,568
256,483,240
763,886,124
754,763,197
406,776,904
589,190,667
447,908,486
456,684,615
753,735,770
492,887,493
587,665,451
957,978,518
722,988,409
10,973,70
860,303,800
229,701,627
864,795,891
623,392,723
38,747,642
126,641,551
32,891,651
21,395,657
292,132,524
293,140,445
177,799,779
518,586,157
373,181,137
96,610,651
540,481,297
282,959,771
477,659,667
36,518,586
596,199,789
470,404,213
492,532,471
380,159,607
619,245,953
899,862,745
660,655,997
244,736,421
688,802,380
825,488,485
63,575,512
637,822,330
532,613,173
216,362,89
302,721,103
790,175,3
706,923,562
101,37,445
652,203,73
682,48,260
123,636,666
601,211,354
189,156,575
591,288,480
302,834,904
70,941,664
595,403,68
450,521,435
584,691,645
182,16,544
452,307,425
787,375,138
479,760,638
87,90,526
117,811,860
456,937,818
806,241,919
314,359,550
551,781,122
824,506,424
16,258,983
779,166,322
296,772,902
629,863,799
210,412,459
671,913,793
654,86,306
146,616,907
213,774,937
763,637,738
189,504,370
303,632,952
117,393,792
150,459,609
911,883,200
884,561,534
275,371,279
946,238,762
847,51,319
75,567,832
526,806,688
827,887,459
333,187,678
116,717,966
679,218,892
273,951,302
459,553,248
994,949,598
345,9,455
426,409,189
359,660,775
816,864,909
129,469,448
833,459,691
543,873,531
794,552,857
330,484,374
7,519,203
676,206,307
42,409,995
217,997,148
975,167,474
100,119,352
674,187,991
889,244,852
8,129,468
61,773,997
819,325,406
915,517,798
609,12,236
332,769,578
675,66,32
722,611,192
100,893,28
786,3,338
414,942,182
997,400,897
43,521,584
34,206,499
585,35,898
765,820,94
285,461,895
262,159,220
2,426,397
949,191,712
107,19,928
668,759,837
52,208,852
245,472,276
399,394,883
218,170,57
534,361,53
412,225,533
733,645,845
537,195,955
72,583,600
279,875,244
696,723,530
518,901,315
641,827,379
703,138,353
660,78,98
13,992,810
88,583,529
125,919,210
726,330,802
653,464,809
935,718,501
963,468,660
229,672,588
799,888,264
569,326,550
965,458,755
989,625,868
627,75,775
866,569,849
703,315,407
298,375,397
710,344,379
696,24,808
718,706,994
90,465,566
162,781,787
418,560,410
333,203,33
886,520,726
904,679,162
739,370,865
864,948,27
437,543,2
937,821,310
916,77,795
69,210,337
819,201,641
358,955,33
496,553,28
875,794,768
590,169,376
832,191,340
487,554,658
808,69,175
228,789,101
68,249,876
975,315,450
89,13,558
899,519,796
902,745,191
755,103,545
653,517,413
875,523,712
356,515,424
24,372,85
984,709,262
856,117,575
98,515,280
106,882,128
804,402,705
700,673,943
978,193,404
171,123,984
594,613,889
789,26,548
521,113,383
640,971,478
99,543,317
121,332,659
651,201,786
815,733,839
549,96,105
663,262,59
371,30,664
467,819,136
825,281,738
458,540,434
874,965,211
768,394,241
883,150,518
453,965,81
448,512,672
163,389,429
450,405,100
93,423,921
94,886,90
194,908,769
347,436,749
196,409,750
557,521,541
697,376,344
774,392,606
936,654,742
989,981,879
477,910,122
675,880,944
781,709,520
312,517,726
814,506,707
960,41,617
767,50,11
761,589,439
861,249,602
788,8,593
320,702,269
187,100,419
963,761,669
325,428,258
352,379,642
184,222,198
801,32,452
107,555,441
151,358,285
219,861,546
350,369,280
783,152,205
973,728,979
433,814,91
700,470,79
32,673,690
852,956,511
850,602,125
648,457,663
998,407,960
779,748,224
718,954,660
58,768,224
305,579,461
65,445,163
335,418,454
345,20,823
41,473,905
130,694,344
299,525,607
473,240,576
40,715,475
659,794,333
937,213,881
419,598,297
899,822,723
26,166,446
988,645,556
385,916,107
210,426,194
87,442,914
97,254,869
3,927,934
768,206,170
902,621,797
829,381,77
73,712,446
915,231,203
963,453,788
711,952,997
313,207,35
400,527,512
622,261,487
791,651,637
403,323,693
292,778,773
141,418,706
527,625,168
862,532,246
876,66,214
265,59,246
726,376,827
979,886,57
449,233,144
881,104,685
441,627,439
64,65,744
527,761,326
901,477,808
280,997,377
930,934,224
603,882,760
